,Covidence #,Study ID,Title,Reviewer Name,Title,"Author, Year",Study Design,Population description,Geographic location,Focused on a vulnerable population?,Health categories,Climate categories,Policy/Intervention Level,3 Words about Policy/Intervention,Data Sources,Notes
,9035,Anderson 2024,Race/ethnicity and worry about the threat of flooding: a mediation analysis of perceived risk versus preparedness,Consensus,Race/ethnicity and worry about the threat of flooding: a mediation analysis of perceived risk versus preparedness,"Anderson, 2024",Research study,Houston Area Residents,"Houston, TX",Socially-vulnerable (e.g. low wealth),Mental health,Flood; Storm; Water contamination; Food contamination,Federal; State; Local,reduce risk vs preparing houses for flooding,"2022 Community Perceptions of Flood Mitigation Survey, 2017–2021 American Community Survey (ACS)",
,8939,Sivalingam 2024,Environmental and health effects of global warming,Consensus,Environmental and health effects of global warming,Sivalingam 2024,Other: book chapter,,,No,,,Federal; State; Local,"build climate-resistent infrastructure, agriculture and human culture",,"Building sea walls to safeguard coastal populations from increasing sea levels, breeding crops that can withstand drought, and enhancing water management systems are examples of adaptation tactics.13., 25.
Another important adaptation strategy is the development of climate-resilient infrastructure. This includes buildings, roads, and other infrastructure to resist dangerous weather actions like hurricanes, floods, and wildfires. Agricultural practices can also be adapted to mitigate the impacts of climate change. For example, farmers can adopt conservation tillage practices, which involve leaving crop deposits on the field after yield, reducing the amount of soil erosion, and improving soil health. They can also switch to drought-resistant crops requiring less water and more resilient to extreme weather conditions. Education and awareness-raising are also important mitigation and adaptation strategies"
,7901,Fitzpatrick 2020,Suicide ideation and a post-disaster assessment of risk and protective factors among Hurricane Harvey survivors: Suicide Ideation Among Hurricane Harvey Survivors,Consensus,Suicide Ideation and a Post-Disaster Assessment of Risk and Protective Factors Among Hurricane Harvey Survivors,"Fitzpatrick, 2020",Research study,sample of Hurricane Harvey survivors (n=316),TX Gulf Coast,No,Mental health,Storm,Federal; State; Local,target anti-suicide campaigns to most vulnerable; consider optimism as an antidote,,"Females, persons with elevated symptoms of post-traumatic stress symptoms, persons reporting moderate to high levels of food insecurity, and those with previous mental health issues were related to higher odds in reported suicide ideation. We examined a number of protective factors and religious social capital and optimism were negative and statistically significant (p < 0.05) and related to lower odds of suicide ideation"
,7683,Brauer 2021,Taking a stand against air pollution - The impact on cardiovascular disease,Consensus,"Taking a Stand Against Air Pollution—The Impact on Cardiovascular Disease: A Joint Opinion From the World Heart Federation, American College of Cardiology, American Heart Association, and the European Society of Cardiology","Brauer, 2021",Editorial comment piece,Individuals,Global,No,Cardiovascular; Physical activity,Air quality,Federal; State; Local,Mitigation,"World Heart Federation, American College of Cardiology, American Heart Association, and the European Society of Cardiology",Commentary on how the pandemic shows us that air pollution mitigation efforts work
,7536,McDermott-Levy 2021,Factors that influence climate change-related mortality in the united states: An integrative review,Consensus,Factors that influence climate change-related mortality in the united states: An integrative review,McDermott-Levy 2021,Systematic review,,,,,,Federal; State; Local,"Mortality data, national weather and natural disaster data, electronic medical records, and health care provider use ICD 10 codes must be linked",,
,6966,Zhang 2022,Addressing Disruptions In Care: A Study Of Chronic Disease Exacerbations In An Underserved Community Following Hurricane Ida,Consensus,Addressing Disruptions In Care: A Study Of Chronic Disease Exacerbations In An Underserved Community Following Hurricane Ida,"Zhang, 2022",Research study,Patients at primary care clinic in underserved area of New Orleans after Hurricane Ida,New Orleans,Socially-vulnerable (e.g. low wealth),Cardiovascular,Storm,None,,,Further evidence of the needed focus on underserved communities regarding chronic disease during healthcare disruptions.
,6927,Picetti 2022,IMPACT ON CHILD HEALTH OF CLIMATE CHANGE MITIGATION POLICIES: A SYSTEMATIC REVIEW,Consensus,IMPACT ON CHILD HEALTH OF CLIMATE CHANGE MITIGATION POLICIES: A SYSTEMATIC REVIEW,Picetti 2022,Systematic review,,,Children,Pulmonary,Air quality,Federal; State; Local,mitigate greenhouse gas emissions,,Most of the available evidence suggests positive benefits for child and adolescent respiratory health from greenhouse gas mitigation actions that simultaneously reduce air pollution (specifically PM2.5 and nitrogen dioxide)
,6903,Park 2022,"Associations of Emergency Department Visits for Asthma with Precipitation and Temperature on Thunderstorm Days: A Time-Series Analysis of Data from Louisiana, USA, 2010–2012",Consensus,"Associations of Emergency Department Visits for Asthma with Precipitation and Temperature on Thunderstorm Days: A Time-Series Analysis of Data from Louisiana, USA, 2010–2012","Park, 2022",Research study,Patients admitted to the emergency department due to asthma.,"Louisiana, USA",No,Pulmonary,Heat,None,,,"Demonstrated relationship between asthma-related emergency department visits and high precipitation, low-temperature days. This can inform emergency department preparedness plans."
,6769,Crowley 2022,Environmental Health: A Position Paper From the American College of Physicians,Consensus,Environmental Health: A Position Paper From the American College of Physicians,"Crowley, 2022",Editorial comment piece,None,US,No,Cardiovascular; Pulmonary,Heat; Flood; Drought; Air quality; Water contamination,Federal; State; Local,Speaks on multiple,,
,6819,Paquin 2022,78.1 Mental Health Impacts of Climate Change on Circumpolar Indigenous Peoples,Consensus,Mental Health Impacts of Climate Change on Circumpolar Indigenous Peoples,"Paquin, 2022",Systematic review,Local Indigenous communities around Circumpolar North,"Canada, Sweden, Alaska (US), and Russia",Indigenous community member,Mental health,Heat; Storm,None,,,Examined impact of climate change on the mental health of Indigenous communities who rely on the land.
,5677,Ahdoot 2024,Climate Change and Children's Health: Building a Healthy Future for Every Child,Consensus,"Climate Change and Children’s Health:
Building a Healthy Future for Every
Child","Ahdoot, 2024",Editorial comment piece,US,US,Children,Pulmonary,,Federal; State; Local,"energy, transit, buildings, food, greenspace",,
,6718,Lehmann 2022,Association of Daily Temperature With Suicide Mortality: A Comparison With Other Causes of Death and Characterization of Possible Attenuation Across 5 Decades,Consensus,Association of Daily Temperature With Suicide Mortality: A Comparison With Other Causes of Death and Characterization of Possible Attenuation Across 5 Decades,"Lehmann, 2022",Research study,Analyzed death data ,France,No,Mental health,Heat,None,,Cause of death data - country specific,Establishes that extreme heat should be considered in suicide prevention programs.
,4719,Felix 2020,Why Family Communication Matters: the Role of Co-rumination and Topic Avoidance in Understanding Post-Disaster Mental Health.,Consensus,"Why Family Communication Matters: The Role of Co-Rumination and Topic Avoidance in Understanding Post-Disaster Mental 
Health","Felix, 2020",Research study,85 parent-child dyads following severe floods,TX,Children; Pregnant persons/ people of childbearing age,Mental health,Storm,Federal; State; Local,teach parents to talk about disaster but not ruminate,,"At low levels of topic avoidance, there was no association between flood exposure and child anxiety or depression. However, at mean and high levels of topic avoidance, there was a significant, positive association between flood exposure and child anxiety and depression. Co-rumination impacted both parents and children. For parents, there was no association between flood exposure and depression or anxiety when co-rumination was low or mean-level. However, flood exposure increased risk for depression and anxiety at high levels of co-rumination. A similar pattern emerged for children"
,6558,Ferguson 2023,Moving From Rhetoric to Real Climate Action: Making a Difference for a Sustainable Planet,Consensus,Moving From Rhetoric to Real Climate Action: Making a Difference for a Sustainable Planet,Ferguson 2023,Other: EDITORIAL,-,global,,"Cardiovascular; Pulmonary; Other:  each one-degree Celsius increase in temperature is associated with a 6% increase in cardiovascular disease.
 air pollution and the associated risks of hospitalisation, myocardial infarction, stroke and mortality.",Heat; Air quality; Other,None,political advocacy ,," discussion of climate change has been in lofty, academic, nebulous and esoteric terms, leaving gaps for sceptics, propaganda and misinformation.

medical equipment requires high amounts of energy.

Recycling and minimising single-use items or unnecessary waste is not straightforward.

sterilisation itself uses energy and is a contributor to carbon emissions. 

No single discipline or institution holds the panacea for reducing the carbon footprint of health care."
,6556,Futterman 2023,"Maternal anxiety, depression and posttraumatic stress disorder (PTSD) after natural disasters: a systematic review",Consensus,"Maternal anxiety, depression and posttraumatic stress disorder (PTSD) after natural disasters: a systematic review","Futterman, 2023",Systematic review,"8357 pregnant or birthing per-
sons in the antepartum and postpartum periods",US,Pregnant persons/ people of childbearing age,Mental health,Storm,None,,,"prevalence of post-hurricane anxiety,
depression and PTSD were 17.4%, 22.5%, and 8.2"
,4539,Ebi 2021,Extreme Weather and Climate Change: Population Health and Health System Implications.,Consensus,Extreme Weather and Climate Change: Population Health and Health System Implications,"Ebi, 2021",Editorial comment piece,N/A,US/ Global,No; Other: Speaks on multiple populations,Cardiovascular; Pulmonary; Mental health,Heat; Flood; Drought; Storm,Federal; State; Local,Multiple discussed on multiple levels,,
,4514,Mancini 2021,"Outside the Eye of the Storm: Can Moderate Hurricane Exposure Improve Social, Psychological, and Attachment Functioning?.",Consensus,"Outside the Eye of the Storm: Can Moderate Hurricane Exposure Improve Social, Psychological, and Attachment Functioning?",Mancini 2021,Research study,209 university students,NY,,Mental health,Storm,Federal; State; Local,"moderate disaster exposure can benefit short-term social, psychological, and attachment functioning",,"The hurricane cohort, in contrast to matched comparison cohorts, reported increased social support, reduced 
global distress, reduced negative emotion, and reduced attachment avoidance at the end of the semester. Increased social support mediated the relationship between hurricane cohort and reduced global distress, negative emotion, attachment avoidance, and attachment anxiety, and increased positive emotion and self-esteem at 6 weeks poststorm"
,4372,Mao 2021,The Role of Social Determinants in Mental Health and Resilience After Disasters: Implications for Public Health Policy and Practice.,Consensus,The Role of Social Determinants in Mental Health and Resilience After Disasters: Implications for Public Health Policy and Practice,"Wanying Mao, 2021",Systematic review,,Global ,Children; Elderly ; Socially-vulnerable (e.g. low wealth),Mental health,Flood; Drought; Storm; Fire; Air quality; Water contamination; Food contamination,Federal; State; Local,Cooperation among governments,"Google Scholar, PubMed, PsycINFO, SpringerLink, Taylor
& Francis Online, BioMed Central, and ScienceDirect.",
,4278,Brauer 2021,"Clean Air, Smart Cities, Healthy Hearts: Action on Air Pollution for Cardiovascular Health.",Consensus,"Clean Air, Smart Cities, Healthy Hearts: Action on Air Pollution for Cardiovascular Health","Brauer, 2021",Government paper or tool,,,No,Cardiovascular,Air quality,Federal; State; Local,WHO guidelines on mitigation of indoor air pollution,,"policymaking should work closely with physicians and members of the global cardiovascular community to implement air pollution policies that put health at the center, such as the WHO guidelines on mitigation of indoor air pollution"
,3738,Ai 2023,Perceived spiritual support counteracts the traumatic impact of extreme disasters: Exploration of moderators.,Consensus,Perceived Spiritual Support Counteracts the Traumatic Impact of Extreme Disasters: Exploration of Moderators,"Ai, 2021",Research study,Florida people impacted by Hurricanes Maria and Michael ,US,No,Mental health,Flood; Storm,Federal; State; Local,spiritual support,,perceived spiritual support impacted trauma
,3566,Woodland 2023,Investigating the Health Impacts of Climate Change among People with Pre-Existing Mental Health Problems: A Scoping Review.,Consensus,Investigating the Health Impacts of Climate Change among People with Pre-Existing Mental Health Problems: A Scoping Review,Woodland 2023,Systematic review,,,People w/pre-existing condition ,Mental health,,Federal; State; Local,people with pre-existing mental health problems should be included in adaption guidance or plans,,"The majority of the studies (90%,
n = 28) suggest an association between the presence of pre-existing mental health problems and the likelihood of adverse health impacts (e.g., increased mortality risk, new symptom presentation, and an exacerbation of symptoms). "
,6242,Gwon 2023,The Association between Drought Exposure and Respiratory-Related Mortality in the United States from 2000 to 2018,Consensus,"The Association between Drought Exposure and
Respiratory-Related Mortality in the United States from
2000 to 2018","Yeongjin Gwon, 2023",Research study,"General populations in Northeast, Rockies and,-pains, Ohio valley, Southeast and upper Midwest. ",United States,No,Pulmonary,Drought; Air quality,None,,"US Drought Monitor, 6-month and 12-month Evaporative Demand Drought Index, National Center
for Health Statistics (NCHS) ",
,6170,Nethery 2023,Air Pollution and Cardiovascular and Thromboembolic Events in Older Adults With High-Risk Conditions,Consensus,Air Pollution and Cardiovascular and Thromboembolic Events in Older Adults With High-Risk Conditions,"Nethery, 2023",Research study,Medicare Part D–eligible fee-for-service participants in the United States,US,People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Cardiovascular,Air quality,None,,Medicare data,Provides epidemiological evidence for the connection between PM2.5 and cardiovascular events.
,3318,DeVita 2024,The Impact of Climate Change and Extreme Weather Conditions on Cardiovascular Health and Acute Cardiovascular Diseases.,Consensus,The Impact of Climate Change and Extreme Weather Conditions on Cardiovascular Health and Acute Cardiovascular Diseases,"De Vita, 2024",Editorial comment piece,Individuals,Worldwide,No,Cardiovascular; Pulmonary,Heat; Flood; Storm; Air quality,Federal; State; Local,Multiple Policies,,
,6109,Nehr 2023,Assessing the relevance of allergenic pollen in indoor environments—current knowledge base and research needs,Consensus,Assessing the relevance of allergenic pollen in indoor environments—current knowledge base and research needs,"Nehr, 2023",Systematic review,,Global,No,Pulmonary,Air quality,None,,,Reviews current status on the relevance of indoor air pollen assessments as an environmental indicator.
,6077,Benoit 2023,69.2 Ways to Address the Clinical Impacts of Climate on Children's Mental Health: A Toolkit,Consensus,Ways to Address the Clinical Impacts of Climate on Children's Mental Health: A Toolkit,Benoit 2023,Government paper or tool,Children and adolescents,US,Children,Mental health,Heat; Storm,None,,,panel discussion around addressing climate anxiety in children
,6071,Woller 2023,"ASSOCIATION OF OZONE AND PM2.5 AIR POLLUTION ON SHORT-TERM VENOUS THROMBOEMBOLISM RISK, INCLUDING 10861 VTE EVENTS IN AN INTEGRATED HEALTH SYSTEM: 17 YEARS OF LONGITUDINAL DATA",Consensus,"ASSOCIATION OF OZONE AND PM2.5 AIR POLLUTION ON SHORT-TERM VENOUS THROMBOEMBOLISM RISK, INCLUDING 10861 VTE EVENTS IN AN INTEGRATED HEALTH SYSTEM: 17 YEARS OF LONGITUDINAL DATA","Woller, 2023",Research study,Salt Lake City patients with venous thromboembolism events (VTE).,Salt Lake City,No,Cardiovascular,Air quality,None,,,Shows that PM2.5 is not associated with higher rates of VTE but increased exposure to elevated ozone does have an association with VTE. 
,3102,Klompmaker 2023,Long-term exposure to summer specific humidity and cardiovascular disease hospitalizations in the US Medicare population.,Consensus,Long-term exposure to summer specific humidity and cardiovascular disease hospitalizations in the US Medicare population,Klompmaker 2023,Research study,"~63 million fee-for-service Medicare beneficiaries, aged ≥65",contiguous US,Elderly ,Cardiovascular,Other: Humidity,Federal; State; Local,include humidity in calculations of heat,,"found hazard ratios (HRs) of 1.07 (95%CI: 1.07, 1.08) for CVD hospitalization, 1.08 (95%CI: 1.08, 1.09) for CHD hospitalization, and 1.07 (95%CI: 1.07, 1.08)"
,6035,Kuhrt 2023,What is the Relationship Between Summer Ambient Temperatures & Heart Failure Hospitalizations Among Low-Income Older Adults in the US?,Consensus,What is the Relationship Between Summer Ambient Temperatures & Heart Failure Hospitalizations Among Low-Income Older Adults in the US?,"Nathaniel Kuhrt, 2023",Research study,"460,072 patients hospitalized for Heart failure ",United states,People w/pre-existing condition ,Cardiovascular,Heat,None,,,
,6028,Li 2023,"Impact of Hurricane Harvey on Inpatient Asthma Hospitalization Visits Within Southeast Texas, 2016-2019",Consensus,"Impact of Hurricane Harvey on Inpatient Asthma Hospitalization Visits Within Southeast Texas, 2016-2019
",Li 2023,Research study,Texas Health Care Information Collection database ,Southeast Texas,No,Pulmonary,Storm; Other: Hurricane,None,-,,"females were 1.49 times as likely to have an inpatient asthma visit compared with males, while Black Texans were 2.78 times as likely to have an inpatient asthma hospitalization compared with White Texans."
,2933,Blaustein 2024,Environmental Impacts on Cardiovascular Health and Biology: An Overview.,Consensus,Environmental Impacts on Cardiovascular Health and Biology: An Overview,"Blaustein, 2024",Systematic review,Individuals,Worldwide,No,Cardiovascular,Heat,Federal; State; Local,environmental law,,"It speaks about a lot of climate change factors and doesn't delve deep into policy, I am not entirely sure if we should use this one."
,5945,Picetti 2023,Effects on child and adolescent health of climate change mitigation policies: A systematic review of modelling studies,Consensus,Effects on child and adolescent health of climate change mitigation policies: A systematic review of modelling studies,Picetti 2023,Systematic review,Global,Global,Children,Cardiovascular; Pulmonary; Physical activity; Mental health,Air quality,None,,NA,"Not government done metrics only assessed by studies, looks at policy implications"
,5898,Kõlves 2023,Eco-emotions and suicidal ideation and behaviour: A systematic literature review,Consensus,Eco-emotions and suicidal ideation and behaviour: A systematic literature review,Kõlves 2023,Systematic review,-,global,No,Mental health; Other: suicide in specific.,"Other: climate ""change"" in general",None,need for more in-depth research,,The limited findings from this review highlight the pressing need for more in-depth research about the association between eco-emotions and suicidal ideation and behaviours
,5833,Ryan 2024,A call for solutions-oriented research and policy to protect children from the effects of climate change,Consensus,A call for solutions-oriented research and policy to protect children from the effects of climate change,"Ryan, 2024",Editorial comment piece,Children,Global,Children,Cardiovascular; Physical activity; Mental health,Air quality,None,,,Editorial on children and air pollution current situation and potential solutions. 
,5759,Brigham 2024,Adaptation in real time: Wildfire smoke exposure and respiratory health,Consensus,Adaptation in real time: Wildfire smoke exposure and respiratory health,"Brigham, 2023",Editorial comment piece,,Global,Socially-vulnerable (e.g. low wealth),Pulmonary,Air quality,None,,US Air Quality Index and Canadian Air Quality Health Index,Policy and personal interventions to protect vulnerable populations from PM2.5.
,2879,Ezeonu 2024,Mobile Apps to Support Mental Health Response in Natural Disasters: Scoping Review.,Consensus,Mobile Apps to Support Mental Health Response in Natural Disasters: Scoping Review,"Ezeonu, 2024",Systematic review,,,,Mental health,Other: natural disasters,Federal; State; Local,mobile apps to support mental health,,"All 3 survivor-based apps were found to have positive benefits in addressing mental health issues among persons exposed to natural disasters. The TLS mobile app was shown to be effective in increasing positive and decreasing negative psychological factors according to app use time. The TLS mobile apps’ use had a significant effect on the emotional quotients (β=.550 P<.008), explanatory power (EP) was 30%, had a significant positive effect on the basic rhythm quotient (left brain: β=.598; P<.003; EP 35; right brain: β=.451; P<.035; EP 20%). Additionally, it had a significant positive effect on the alpha-blocking rate (left brain: β=.510; P<.015; EP 26%; right brain: β=.463; P<.035, EP 21%); and a significant positive effect on the brain quotient (β=.451; P<.035; EP 20%) [16]. The Headspace app had a positive effect on depression (odds ratio [OR] 0.3, 95% CI 0.11-0.81), physical activity (OR 2.8, 95% CI 1.0-7.8), sleep latency (OR 0.3, 95% CI 0.11-0.81), sleep duration (OR 0.3, 95% CI 0.07-0.86), and sleep quality (OR 0.1, 95% CI 0.02-0.96); however, there was no change in mindfulness scores from baseline to follow-up. For the Sonoma Rises app, no significant effects were observed for the clinical and functional outcomes because the longitudinal part of the study was affected by limited statistical power as a result of small sample size and historical confounds that made the participants miss data submission. However, visual inspection of individual data following the intervention showed downward trends across the study phases for daily levels of anxiety, fearfulness, and individual posttraumatic stress symptom severity"
,5745,Gould 2024,Health Effects of Wildfire Smoke Exposure,Consensus,"Health Effects of Wildfire
Smoke Exposure","Gould, 2024",Systematic review,,,No,Pulmonary,Fire; Air quality,None,,,"There were robust positive associations between wildfire PM2.5 and same-day
respiratory outcomes: Respiratory hospitalizations increased by 0.25% (95% CI 0.09–0.52%) and respiratory ED visits increased by 0.36% (95% CI 0.19–0.53%) per additional 1–µg m−3 increase in ambient wildfire smoke PM2.5. We found a non–statistically significant 0.06% (95%
CI 0.00–0.12%) increase in same-day cardiovascular hospitalizations and no meaningful change in same-day cardiovascular ED visits (−0.03%; 95% CI −0.18–0.12%) per additional 1–µg m−3
increase in ambient wildfire smoke PM2.5."
,2777,Zavala 2024,Gender Inequities in the Impact of Climate Change on Health: A Scoping Review.,Consensus,Gender Inequities in the Impact of Climate Change on Health: A Scoping Review,Zavala 2024,Systematic review,,,No,Mental health,,Federal; State; Local,consider targeting women's mental health,,"Risk factors: magnitude of disaster, female gender, younger age, low education and socioeconomic status, loss or injury of loved ones, minority or ethnic status, immigrant groups, indigenous people, family instability, intimate partner violence, pre-existing health conditions or/and mental health issues, and lack of access to health and support services; Women experience a wide range of emotions due to climate change, with some experiencing specific psychological disorders "
,5657,Le 2024,124. Rural vs. Urban Differences in Climate Change Anxiety and the Role of CIVIC Engagement Among California Adolescents,Consensus,Rural vs. Urban Differences in Climate Change Anxiety and the Role of CIVIC Engagement Among California Adolescents,"Le, 2024",Research study,"1,169 adolescents in CA",CA,Children,Mental health,,None,,None,"living in rural vs. urban zip codes was associated with a 54% lower odds of
climate change anxiety"
,5630,Kırımer-Aydınlı 2024,Measuring Planetary Eco-Emotions: A Systematic Review of Currently Available Instruments and Their Psychometric Properties,Consensus,Measuring Planetary Eco-Emotions: A Systematic Review of Currently Available Instruments and Their Psychometric Properties,Kırımer-Aydınlı 2024,Systematic review,-,Studies were not restricted in terms of country,,"Mental health; Other: The most recurrent emotion was worry, followed by anxiety, fear, and sadness.","Other: climate "" change""",None,evaluation tools for eco-emotions,,10 different psychometric scales measuring various eco-emotions.
,5598,Modi 2024,Identifying research gaps in climate-related mental health outcomes in North America and Europe: a qualitative framework analysis,Consensus,Identifying research gaps in climate-related mental health outcomes in North America and Europe: a qualitative framework analysis,"Tulsi Modi, 2024",Systematic review,,,No,Mental health,,None,,,Points out gaps in mental health and climate research
,5565,Sharma 2024,THE IMPACT OF LIVING TEMPERATURE ON CARDIOVASCULAR DISEASE - A QUANTITATIVE ANALYSIS OF 116 COUNTRIES,Consensus,"THE IMPACT OF LIVING TEMPERATURE ON CARDIOVASCULAR DISEASE - A QUANTITATIVE 
ANALYSIS OF 116 COUNTRIES","Sharma, 2024",Research study; Other: Oral Presentation,Individuals,Worldwide,No,Cardiovascular,Heat,None,,standardized CV mortality and incidence data from the global burden of disease (GBD) and temperature data from Kaggle (www.kaggle.com),
,2624,Shrestha 2024,The co-benefits of climate change mitigation strategies on cardiovascular health: a systematic review.,Consensus,The co-benefits of climate change mitigation strategies on cardiovascular health: a systematic review,Shrestha 2024,Systematic review,,,,Cardiovascular,,Federal; State; Local,"focus on renewables, multimodal transit, and sustainable diets for cardiovascular co-benefits",,"The review found that renewable energy has a stronger association with cardiovascular co-benefits compared to emission reduction targets. Multimodal transport is more beneficial for both the climate and cardiac health than zero emission vehicles. Diet modification, such as Mediterranean and plant-based-diets, is positively associated with CVD reduction. Proximity to green spaces and reducing urbanisation may also improve cardiac health"
,5429,Johnson 2024,Predicting Post-Disaster Post-Traumatic Stress Disorder Symptom Trajectories: The Role of Pre-Disaster Traumatic Experiences,Consensus,"Predicting Post-Disaster Post-Traumatic Stress Disorder Symptom Trajectories: The Role of Pre-Disaster Traumatic Experiences
",Sydney T. Johnson. 2024,Research study,Disaster survivors with pre-disaster trauma ,United States,People w/pre-existing condition ,Mental health,Flood; Storm,None,,"Resilience in Survivors of Katrina (RISK) study,",
,5328,Heinz 2024,"Climate change and mental health: direct, indirect, and intersectional effects",Consensus,"Climate change and mental health: direct, indirect, and intersectional effects","Heinz, 2024",Editorial comment piece,,,No,Mental health,Heat; Flood; Drought; Storm,None,,,I really like Fig. 1: Effects of climate change on mental health (ML)
,2543,Mundo 2024,Operational Stress Injuries in Disaster Responders: A Framework for Supporting Mental Health in Climate Crisis.,Consensus,"Operational Stress Injuries in Disaster
Responders: A Framework for Supporting
Mental Health in Climate Crisis",Mundo 2024,Editorial comment piece,,,Workers,Mental health,Other: disasters,Federal; State; Local,"create training modules focused on bolstering psychological resilience, stress management, and coping strategies for disaster responders",,
,5254,Cohen 2024,Daily temperature variability and mental health-related hospital visits in New York State,Consensus,Daily temperature variability and mental health-related hospital visits in New York State ,"Cohen, 2024",Research study,Residents,New York State,People w/pre-existing condition ,Mental health,Heat,None,,New York Department of Health Statewide Planning and Research Cooperative System,
,22,,"Hess JJ, Saha S, Schramm PJ, Conlon KC, Uejio CK, Luber GL (n.d.) “Projecting climate-related disease burden: a guide for health departments.” In, edited by Centers for Disease Control and Prevention. Atlanta, GA",Consensus,Projecting Climate-Related Disease Burden: A Guide for Health Departments,Hess 2017,Government paper or tool,US,US,Children; Elderly ,Cardiovascular; Pulmonary; Physical activity; Mental health,Heat; Flood; Drought; Storm; Fire; Air quality; Pollen; Water contamination; Food contamination,Federal; State; Local,CDC guide,"NOAA's Global Historical Climatology Network (GHCN); National Land Data Assimilation System (NLDAS); CDC's Environmental Public Health Tracking program has archived NLDAS; EPA's  Climate Change Indicators in the United States;  federally-administered datasets, e.g., the National Emergency Department Sample of the Healthcare Cost and Utilization Project; National Vital Statistics System
",Guidelines on how health departments can monitor health outcomes more generally. Suggests modeling future health outcomes using predictive climate models connected with causal health pathways. This is an interesting approach that considers potential changes in the future population.
,5215,Wortzel 2024,28.4 The Impacts of Ambient Heat on the Mental Health of Children,Consensus, The Impacts of Ambient Heat on the Mental Health of Children/JAACAP,"Wortzel, 2024",Editorial comment piece,Psychiatric patients ,,People w/pre-existing condition ,Mental health; Other: Thermoregulation abilities,Heat,None,,,Temperature may exacerbate mental health conditions
,5200,Aroyewun 2024,IT'S GETTING HOT OUT THERE: SEVERE HYPERTHERMIA AMIDST GLOBAL WARMING AND REGIONAL HEALTH CRISES,Consensus,It’s Getting Hot Out There: Severe Hyperthermia Amidst Global Warming and Regional Health Crises,"Aroyewun, 2024",Research study,10 patients with severe hyperthermia admitted to medical intensive care unit in Austin Texas,"Austin, Texas",Socially-vulnerable (e.g. low wealth),Other,Heat,None,Intervention is case study into hyperthermia and the larger causes.,Medical records,"Provides identifiable markers such as local housing crisis, regional methamphetamine epidemic, national mental health crisis, and climated change that were associated with higher rates of hyperthermia at this hospital. "
,8,,CDC. 2021. ‘National Environmental Public Health Tracking Network’. https://ephtracking.cdc.gov/DataExplorer/. Accessed 13 April 2021,Consensus,National Environmental Public Health Tracking Network,CDC. 2021,Government paper or tool,US,US,No,Cardiovascular; Pulmonary; Physical activity; Other,Heat; Drought; Storm; Air quality; Water contamination,Federal; State; Local,tool to map/ analyze data,federal and state government,"The Tracking Program collects, integrates, analyzes, and disseminates non-infectious disease, environmental, and socio-economic data from various sources"
,4143,Fuller 2022,Climate Change and State of the Science for Children's Health and Environmental Health Equity.,Consensus,Climate Change and State of the Science for Children’s Health and Environmental Health Equity,"Martha G. Fuller, 2022",Systematic review,,,Children,Pulmonary; Mental health,Heat; Flood; Drought; Storm; Fire; Air quality; Water contamination; Food contamination,Federal; State; Local; Other: Global,,,"Policy approaches , ties weather events to different illnesses in children "
,5032,An 2019,Impact of Hurricane Katrina on Mental Health among US Adults.,Consensus,Impact of Hurricane Katrina on Mental Health among US Adults,"An, 2019",Research study,Residents of Hurricane Katrina affected areas from Behavioral Risk Factor Surveillance System 2004-2006,US,No,Mental health; Other: physical health,Flood; Storm,None,Difference in differences study to determine the effects of Hurricane Katrina on mental health.,Behavioral Risk Factor Surveillance System,Used nationwide survey data available to all to determine areas and populations with higher poor mental health days due to a terrible storm.
,4971,Felix 2019,Addressing Disaster Exposure Measurement Issues With Latent Class Analysis.,Consensus,Addressing Disaster Exposure Measurement Issues With Latent Class Analysis,"Felix, 2019",Research study,Parents and youth exposed to floods in Texas,Texas,Children,Mental health,Flood,None,,,Improves understanding of exposure experiences of survivors of natural disasters and the connection to mental health outcomes.
,4951,Lawrence 2019,After the Storm: Short-term and Long-term Health Effects Following Superstorm Sandy among the Elderly.,Consensus,After the Storm: Short-term and Long-term Health Effects Following Superstorm Sandy among the Elderly,"Lawrence, 2019",Research study,Elderly individuals admitted to hospital services after Superstorm Sandy,US,Elderly ,Cardiovascular; Pulmonary,Storm,None,,,"Used emergency department visits, outpatient visits, and hospital admissions to determine higher rates of CVD, respiratory disease, and injury after the storm among the elderly, indicating a need to integrate short and long-term into public health recovery plans. "
,4949,LaGreca 2019,Before the Storm: Stressors Associated with the Hurricane Irma Evacuation Process for Families.,Consensus,Before the Storm: Stressors Associated with the Hurricane Irma Evacuation Process for Families,"LaGreca, 2019",Research study,South Florida parents of children under 18,"Florida, USA",Other: Families,Mental health,Storm,None,,,Evaluated the impact of disaster preparedness measures on mental health to inform emergency planning and reduce the stress of evacuation.
,4947,DeFlorio-Barker 2019,"Cardiopulmonary Effects of Fine Particulate Matter Exposure among Older Adults, during Wildfire and Non-Wildfire Periods, in the United States 2008-2010.",Consensus,"Cardiopulmonary Effects of Fine Particulate Matter Exposure among Older Adults, during Wildfire and Non-Wildfire Periods, in the United States 2008-2010.","DeFlorio-Barker, 2019",Research study,Adults in wildfire locations,US,No,Cardiovascular; Pulmonary,Fire; Air quality,None,,,Cardiopulmonary effects did not change with PM2.5 concentrations but it did raise the risk of asthma-related hospitalizations.
