Author,Title,Paper Type,Population,Location,Vulnerable,Health Impact,Climate Exposure,Policy Intervention type,Intervention Details,Data Sources,Notes
Lee 2022,Heat exposure and mental health in the context of climate change,Systematic review,-,"US, Europe",No,"Mental health; Other: The mental health outcomes affected by heat exposure consisted of mortality due to mental illnesses, hospitalizations, emergency department or outpatient visits, aggravation of symptoms, incidence of mental disorders, dementia, suicide, and violence including assault and crime.",Heat,None,no specific intervention,,"Mental health impacts should be fully incorporated into plans for the public health response to high temperatures.

 Knowledge gaps exist on the impact of high temperatures on many common mental health disorders"
Cohen 2024,Daily temperature variability and mental health-related hospital visits in New York State,Research study,Residents,US/New York State,People w/pre-existing condition ,Mental health,Heat,None,,New York Department of Health Statewide Planning and Research Cooperative System,
Wortzel 2024,28.4 The Impacts of Ambient Heat on the Mental Health of Children,Editorial comment piece,Psychiatric patients ,,People w/pre-existing condition ,Mental health; Other: Thermoregulation abilities,Heat,None,,,Temperature may exacerbate mental health conditions
Anneser 2024,"Climate stress and anxiety, environmental context, and civic engagement: A nationally representative study.",Research study,"1,071 participants from a nationally representative population of all non-institutionalized adults in the U.S. ",US,No,Mental health,Heat; Air quality,None,,"Tufts Equity in Health, Wealth, and Civic Engagement Study of US adults",
Kumari 2024,"Confronting the nexus of climate change: Mental health, food security, and social stability","Other: book chapter: 
Impact of Climate Change on Social and Mental Well-Being ",,,Other:  particularly for people with existing mental health disorders,Mental health; Other: food poverty,Heat; Fire,None,,,"By acknowledging eco-anxiety, climate grief, and the mental health consequences of climate change, societies can develop comprehensive responses that provide psychological support and build community resilience "
Koopmans 2022,Health risks and mitigation strategies from occupational exposure to wildland fire: a scoping review.,Systematic review,Wildland firefighters,Global,Workers,Cardiovascular; Pulmonary; Physical activity; Mental health,Heat; Fire; Air quality; Food contamination,None,,,
Abramowitz 2019,Extreme weather events and the onset of psychotic depression,Research study,259 subjects with psychotic depression,US,People w/pre-existing condition ,Mental health,Heat; Flood; Drought; Storm,None,," National Institute of Mental Health STOP-PD (The Study of Pharmacotherapy of Psychotic Depression), National Oceanic and Atmospheric Administration (NOAA)","Not only are those with Psychotic Depression at risk for the health effects of climate change, but more extreme weather events brought on by climate change will exacerbate this condition. "
Heinz 2024,"Climate change and mental health: direct, indirect, and intersectional effects",Editorial comment piece,,,No,Mental health,Heat; Flood; Drought; Storm,None,,,I really like Fig. 1: Effects of climate change on mental health (ML)
Hwong 2022,"Climate change and mental health research methods, gaps, and priorities: a scoping review.",Systematic review,,Global,No; People w/pre-existing condition ,Mental health,Heat; Flood; Drought; Storm; Air quality,None,,,
Crandon 2024,A theoretical model of climate anxiety and coping,Other: Discussion of a model,,Global,No,Mental health,Heat; Storm,None,,,Develops a model to help define climate anxiety and its effects on behavior.
Marczak 2023,Beyond climate anxiety: Development and validation of the inventory of climate emotions (ICE): A measure of multiple emotions experienced in relation to climate change,Research study,,Global,No,Mental health,Heat; Storm,None,,,Validates the inventory of climate emotions (ICE) as an instrument to measure the complex range of emotions associated with climate change.
Ignaszewski 2020,43.1 A REVIEW OF CLIMATE CHANGE IMPACT ON YOUTH AND FAMILY MENTAL HEALTH,Systematic review,Children and adolescents ,Global,Children,Mental health,Heat; Storm,None,,,Provides information on psychiatrists' role in handling eco-anxiety among children and adolescents.
Gago 2024,A meta-analysis on the relationship between climate anxiety and wellbeing,Systematic review,,Global ,No,Mental health,Heat; Storm,None,,,Evaluates the applicability of the Climate Change Anxiety Scale in different contexts and the general relationship between climate anxiety and mental health.
Benoit 2023,69.2 Ways to Address the Clinical Impacts of Climate on Children's Mental Health: A Toolkit,Government paper or tool,Children and adolescents,US,Children,Mental health,Heat; Storm,None,,,panel discussion around addressing climate anxiety in children
Paquin 2022,78.1 Mental Health Impacts of Climate Change on Circumpolar Indigenous Peoples,Systematic review,Local Indigenous communities around Circumpolar North,"US/Canada, Sweden, Alaska (US), and Russia",Indigenous community member,Mental health,Heat; Storm,None,,,Examined impact of climate change on the mental health of Indigenous communities who rely on the land.
Kırımer-Aydınlı 2024,Measuring Planetary Eco-Emotions: A Systematic Review of Currently Available Instruments and Their Psychometric Properties,Systematic review,-,Global/Studies were not restricted in terms of country,,"Mental health; Other: The most recurrent emotion was worry, followed by anxiety, fear, and sadness.","Other: climate "" change""",None,evaluation tools for eco-emotions,,10 different psychometric scales measuring various eco-emotions.
Kõlves 2023,Eco-emotions and suicidal ideation and behaviour: A systematic literature review,Systematic review,-,global,No,Mental health; Other: suicide in specific.,"Other: climate ""change"" in general",None,need for more in-depth research,,The limited findings from this review highlight the pressing need for more in-depth research about the association between eco-emotions and suicidal ideation and behaviours
Long 2020,The Potential Unique Impacts of Hope and Resilience on Mental Health and Well-Being in the Wake of Hurricane Harvey.,Research study; Other: cross-sectional study,Most participants were college students at the University of Houston–Clear Lake,US/Texas the Greater Houston area.,No,Mental health,Other: hurricane,None,,,"the results of the present study demonstrated that both resilience and hope were associated with positive adaptation 1–3 months after Hurricane Harvey, including higher levels of WB and lower levels of PTSD symptoms. "
Mendez-Figueroa 2019,16: Impact of severe stress after a major natural disaster on perinatal outcomes,Systematic review,Pregnant women ,US/Houston,Pregnant persons/ people of childbearing age,Mental health,Other: Hurricane ,None,No intervention ,,Did not identify differences in perinatal outcomes due to self perceived stress 
Gilmore 2021,"A Longitudinal Examination of Interpersonal Violence Exposure, Concern for Loved Ones During a Disaster, and Web-Based Intervention Effects on Posttraumatic Stress Disorder Among Adolescent Victims of the Spring 2011 Tornadoes",Research study,Adolescents in area of tornadoes,US,Socially-vulnerable (e.g. low wealth),Mental health,Other: tornado,None,,,Tested an intervention for adolescents who experienced interpersonal violence and PTSD related to environmental disasters.
Saltzman 2024,Child and Adolescent Trauma Response Following Climate-Related Events: Leveraging Existing Knowledge With New Technologies,Research study,Children and adolescents,Global,Children,Mental health,Storm,None,,,Provides information on how to integrate technology into mental health response among children post-disaster.
Andrade 2021,The Impact of Natural Hazards on Older Adult Health: Lessons Learned From Hurricane Maria in Puerto Rico.,Research study,,Puerto Rico,Elderly ,Mental health,Storm,None,Expanding local disaster training and preparation for older individuals and build local capacity,NA,This study provides local and state solutions to protect older individuals during hurricanes of increasing frequency and intensity.
Gonzalez-Conty 2020,66.3 ESTABLISHING MENTAL HEALTH SERVICES THROUGH TELEPSYCHIATRY AFTER A NATURAL DISASTER,Research study,Refugees from hurricanes in Puerto Rico,Puerto Rico,Socially-vulnerable (e.g. low wealth),Mental health,Storm,None,,,Examines the feasibility of expanding mental health services for those who have been impacted by extreme weather events.
Vazquez 2024,A network analysis of Hurricane Maria-related traumatic stress and substance use among Puerto Rican youth.,Research study,Youths (grades 3-12),Puerto Rico,Children,Mental health,Storm,None,,,Examines markers of PTSD and its role in substance use after natural disasters and identifies two symptom communities: arousal and reactivity and avoidance and intrusion.
Appel 2021,Positive Emotional Traits and Coping Related to Depression in the Aftermath of Category 5 Hurricanes,Research study,566 Florida residents directly impacted by Hurricanes Maria and Michael,US,No,Mental health,Storm,None,"Cross-sectional study on correlates between feelings about the hurricanes, coping strategies, and depression.",Cross-sectional data collected for this study ,Demonstrates that negative feelings and coping around the hurricanes were associated with depression and vice versa.
Lenane 2019,Association of Post-Traumatic Stress Disorder Symptoms Following Hurricane Katrina With Incident Cardiovascular Disease Events Among Older Adults With Hypertension.,Research study,Community-dwelling older adults without a history of CVD and enrolled in cohort study,US,Elderly ,Mental health,Storm,None,,,"Demonstrates the connection between PTSD symptoms in older adults after Hurricane Katrina and rates of CVD, especially among black communities."
Pavlacic 2024,Behavioral activation is associated with post-disaster mental health: Secondary longitudinal analysis from a population-based study.,Research study,"Adults affected by Hurricanes Micheal, Florence, Maria, Irma, or Harvey",US,No,Mental health,Storm,None,,,Shows behavioral activation as an effective tool to relieve mental health symptoms post-disaster to inform climate change planning.
Schwartz 2024,After Hurricane Maria: Effects of disaster trauma on Puerto Rican survivors on the U.S. mainland.,Research study,Adult Puerto Rican Hurricane Maria survivors on U.S. mainland,US,Other: Those who experienced major weather event,Mental health,Storm,None,,,Indicates that trauma from a storm is connected to perceived cultural stress on the mainland and could lead to internalization and drinking problems. 
Strough 2024,Aging and Emotional Well-Being After Disasters: Vulnerability and Resilience.,Research study,Adults in the US Gulf Coast Region,US,No,Mental health,Storm,None,,,"Demonstrates consistent findings of more depressive symptoms and younger ages, even controlled for the storm. "
Futterman 2023,"Maternal anxiety, depression and posttraumatic stress disorder (PTSD) after natural disasters: a systematic review",Systematic review,"8357 pregnant or birthing per-
sons in the antepartum and postpartum periods",US,Pregnant persons/ people of childbearing age,Mental health,Storm,None,,,"prevalence of post-hurricane anxiety,
depression and PTSD were 17.4%, 22.5%, and 8.2"
Zhang 2020,How community vulnerability factors jointly affect multiple health outcomes after catastrophic storms.,Research study,Residents,US/downstate New York,No,Cardiovascular; Pulmonary; Mental health,Storm,None,,,
Garfin 2022,Association Between Repeated Exposure to Hurricanes and Mental Health in a Representative Sample of Florida Residents.,Research study,Florida residents,US/Florida,No,Mental health,Storm,None,,,Demonstrates that repeated exposure to extreme weather events had adverse effects on mental health and includes markers of those negative effects.
LaGreca 2019,Before the Storm: Stressors Associated with the Hurricane Irma Evacuation Process for Families.,Research study,South Florida parents of children under 18,"US/Florida, USA",Other: Families,Mental health,Storm,None,,,Evaluated the impact of disaster preparedness measures on mental health to inform emergency planning and reduce the stress of evacuation.
Saunders 2021,Emergency mental health calls to first responders following a natural disaster: Examining the effects from Hurricane Harvey,Research study,,US/Houston,No,Mental health,Storm,None,,,statistically significant increase in the number of mental health calls to the police following Hurricane Harvey; there was not a statistically significant difference in the number of EDOs or the number of EMS mental health calls.
Lipschutz 2024,Maternal mental health mediates the effect of prenatal stress on infant temperament: The Harvey Mom Study.,Research study,women in Harvey Mom Study,"US/houston, TX",Children; Pregnant persons/ people of childbearing age,Mental health; Other: infant temperament,Storm,None,,,suggest a psychological mechanism linking prenatal stress with specific temperamental characteristics via maternal mental health symptoms. Findings point to the importance of high-quality assessment and mental health services for vulnerable women and young children
Kilmer 2020,Associations between children's self-system functioning and depressive and posttraumatic stress symptoms following disaster.,Research study,6-10 year olds affected by Hurricane Katrina,US/Louisiana and Mississippi,Children,Mental health,Storm,None,,,Demonstrates importance of incorporating socioemotional variables into interventions pre- and post- disaster.
Lowe 2020,A Life-Course Model of Trauma Exposure and Mental Health Among Low-Income Survivors of Hurricane Katrina.,Research study,"Non-Hispanic, low-income, Black mothers exposed to Hurricane Katrina",US/New Orleans/Hurricane Katrina areas,Socially-vulnerable (e.g. low wealth),Mental health,Storm,None,,Resilience in Survivors of Katrina study,Demonstrates the importance of incorporating disaster preparedness into clinical work with survivors and giving attention to potentially traumatic events.
Rahmani 2023,Youth Suicidality in the Context of Disasters.,Research study,US,US,Children,Mental health,Storm; Fire,None,,NA,Effects of different disasters on child and adolescent mental health
Orengo-Aguayo 2019,Disaster Exposure and Mental Health Among Puerto Rican Youths After Hurricane Maria.,Research study,ublic school student at all schools in Puerto Rico b,Puerto Rico ,Socially-vulnerable (e.g. low wealth),Mental health,Storm; Other: Hurricane,None,no specific policy,,"youths reported high levels of PTSD and
depressive symptoms after the hurricane."
Li 2021,Coping with post-hurricane mental distress: The role of neighborhood green space,Research study; Other: cross sectional,30 Houston neighborhoods that were affected during Hurricane Harvey. ,"US/Houston, TX ",No,Mental health,Storm; Other: hurricane,None,-,,"living in neighborhoods with greater perceived quality of green space was associated with lower levels of post-hurricane distress,"
Olayinka 2019,Impact of hurricanes on mental health,Other: book chapter,,US,No,Mental health,Storm; Other: hurricanes,None,-,,Common mental disorders and popular screening instruments that are available for rapid mental health assessment of a population affected by a hurricane are described. 
Odimayomi 2021,"Water safety attitudes, risk perception, experiences, and education for households impacted by the 2018 Camp Fire, California",Research study,community members who lived in or owned homes in Butte County six months after the Camp Fire,US/California,No,Mental health,Water contamination,None,none,,"Households sometimes contacted multiple local, state, and federal agencies for water safety advice, as well as their friends, community groups, and private companies. When respondents were asked to grade information quality from organizations, the grades for water providers, county, state, and federal agencies never exceeded 2.83 (i.e., a grade of a C +) on a scale of 0 to 4 [4 = A, 3 = B, 2 = C, 1 = D, and 0 = F].
 Communication was rated based on (1) clarity, (2) helpfulness, and (3) trustworthiness. 

Both PID and DOWC received the highest ratings for all three criteria, followed by the county government, state government, and the federal government (Fig. 3). 
Households were more aware of drinking water contamination statements released by local agencies (BCHD and PID ) compared to that of the SWRCB, the state drinking water primacy agency,"
Baudon 2021,A Scoping Review of Interventions for the Treatment of Eco-Anxiety.,Systematic review; Research study,US,US,No,Mental health,,None,Eco- Anxiety Treatment,"Academic Search Complete,
Business Source Complete, Military & Government Collection, APA PsycInfo, CINAHL
with Full Text, SocINDEX with Full Text, Environment Complete, Humanities International
Complete, Consumer Health Complete–EBSCOhost, Google Scholar, and ResearchGate","Ways to identify and treat eco-anxiety would be important for federal, state, and local governments. Would help with resilience ."
Le 2024,124. Rural vs. Urban Differences in Climate Change Anxiety and the Role of CIVIC Engagement Among California Adolescents,Research study,"1,169 adolescents in CA",US/CA,Children,Mental health,,None,,None,"living in rural vs. urban zip codes was associated with a 54% lower odds of
climate change anxiety"
Modi 2024,Identifying research gaps in climate-related mental health outcomes in North America and Europe: a qualitative framework analysis,Systematic review,,,No,Mental health,,None,,,Points out gaps in mental health and climate research
Schumann 2023,Addressing Global Environmental Challenges to Mental Health Using Population Neuroscience: A Review.,Research study,European citizens,Global/Europe,No,Mental health,Heat; Storm,None; Other,,,Outlines research program looking to develop biomarkers and interventions to improve environment related mental health.
Treble 2023,Child and Adolescent Psychological Reactions to Climate Change: A Narrative Review Through an Existential Lens.,Systematic review,Youth,Global,Children,Mental health,Heat; Flood; Drought; Storm; Fire; Air quality,None; Other: States that some theories should be explored further,,,
El-Mousawi 2023,The Impact of Flood Adaptation Measures on Affected Population's Mental Health: A mixed method Scoping Review,Systematic review; Research study,The study population was defined as flood victims. any record not written in English or French was excluded,"US, China, Austria, Australia, UK, Germany",No,Mental health; Other: document the existing studies on flood adaptation measures and their impact on the mental health of affected populations,Flood,Other,"identified various components of social capital as driving factors of resilience in flood victims. Social capital can be broadly defined as the social ties, social cohesion and social networking of an individual that facilitates collective action. ",,"decisions by governments and authorities influence the resilience of affected individuals and communities. So far, this topic remained unexplored."
Perera 2020,Co-Benefits to Children's Health of the U.S. Regional Greenhouse Gas Initiative.,Research study,Residents of the Northeast,US/Northeast,Children,Cardiovascular; Pulmonary; Mental health,Air quality,Other: Regional,Aiming to reduce greenhouse gas emissions in Northeast,,"Evaluation of this policy and its benefits to children, shows how this was analyzed and can inform further policy."
El-Mousawi 2024,"The Impact of ""Soft"" and ""Hard"" Flood Adaptation Measures on Affected Population's Mental Health: A Mixed Method Scoping Review.",Systematic review,Individuals,Global,No,Mental health,Flood,State,Public policies,,
Mukherji 2023,Perspectives of local public officials on the health hazards of compound flooding in Eastern North Carolina,Research study,Eastern North Carolina (ENC) Residents,US/Eastern North Carolina (ENC),Children; Pregnant persons/ people of childbearing age; Elderly ; People w/pre-existing condition ,Mental health,Flood,State,,"full-day focus group workshops, both conducted at the ECU 
campus in Greenville, NC",Local public health officials perspectives during disasters
Balderas 2023,Brief Online Intervention Model Promotes Sustained Helping Behavior Across 6 Months Following a Population-Wide Traumatic Event,Research study,University of Houston-Clear Lake (UHCL) students and employees,US,No,Mental health,Storm,State,"brief, online, self-administered motivational interviewing and mindful compassion intervention administered 4–10 weeks post-Hurricane ",,intervention might sustain helping behaviors after a natural disaster
Torres-Mendoza 2021,"Community Assessment for Mental and Physical Health Effects After Hurricane Irma - Florida Keys, May 2019.",Government paper or tool,Florida Keys (Monroe County) ,US/Florida Keys (Monroe County) ,No,Pulmonary; Mental health,Storm,State,,consenting adult member from 231 households ,Community health assessment through a questionnaire by local and state health departments
Chan 2022,"Why They Stayed and Why They Left—A Case Study from Ellicott City, MD after Flash Flooding",Research study,Residents,"US/Ellicott City, MD",No,Mental health,Flood,State; Local,Flood Response Efforts,,
Callender 2022,"Economic and mental health impacts of multiple adverse events: Hurricane Harvey, other flooding events, and the COVID-19 pandemic.",Research study,Residents,US/Texas Residents and National Residents,No,Mental health,Flood; Storm,State; Local,Emergency Preparation/ Intervention,,
Sugg 2023,"Cascading disasters and mental health: The February 2021 winter storm and power crisis in Texas, USA.",Research study,Residents,US/Texas,No,Mental health,Other: Extreme Cold Weather,State; Local,New Framework for Mental Health,,
Molitor 2023,Air pollution and suicide in rural and urban America: Evidence from wildfire smoke.,Research study,US citizens,US,No,Mental health,Fire; Air quality,,,"Detailed Mortality—All County data, which is part of the Vital Statistics Data maintained by the NCHS; National Oceanic and Atmospheric Administration’s Hazard Mapping System; Surveillance, Epidemiology, and End Results Program; Economic Research Service branch of the US Department of Agriculture; PRISM Climate Group; EPA’s Air Quality System","a 1-μg/m3 (13%) increase
in monthly wildfire-derived fine particulate matter leads to 0.27 additional suicide deaths per million residents (a 2.0% increase). These effects are concentrated among demographic groups with both high baseline suicide risk and high exposure to outdoor
air: men, working-age adults, non-Hispanic Whites, and adults with no college education. By contrast, we find no evidence that smoke pollution increases suicide risk among any urban demographic group "
Ma 2021,Mental Illness Prevalence and Disparities Among Hurricane Sandy Survivors: A 2-Year Retrospective.,Research study,1009 hurricane Sandy survivors,US,Socially-vulnerable (e.g. low wealth),Mental health,Flood; Storm,,,2014 Associated Press NORC survey,
Young 2021,42.1 THE IMPACTS OF CLIMATE CHANGE ON CHILDREN'S MENTAL HEALTH,Systematic review,Children ,,Children,Mental health,Heat,,,,
Wortzel 2021,42.3 GREENSPACE AND MENTAL HEALTH: IMPLICATIONS FOR PEDIATRIC POPULATIONS FACING CLIMATE CHANGE,Systematic review,,,Children,Mental health,Other: Greenspace accessibility ,,,,
Martinez 2020,25.2 CLIMATE CHANGE AND HURRICANES: THE EFFECT OF HURRICANE-RELATED STRESS ON INFANT TEMPERAMENT,Research study,"54 mother–infant dyads from the
ongoing Health for Life in Singapore",PR,Children; Pregnant persons/ people of childbearing age,"Mental health; Other: negative affect, effortful control in infants",Storm,,,,
